"Ramo" "Pólizas Nuevas" "Pólizas Renovadas" "Cantidad de Asegurados" "Inventario Real" "Inventario Presupuesto" "Inventario Cumplimiento (%)" "Participación Primas Real (%)" "Participación Primas Presupuesto (%)" "Primas Cobradas Netas de Devolución Nueva" "Primas Cobradas Netas de Devolución Renovada" "Primas Cobradas Netas de Devolución Real" "fecha" "cuentas_esp" "centro"
"1" "AUTOMOVIL" 21 27 3747 29 114 25.9038429241627 9.15767380502075 68.5169164324179 11022039514.5006 40752873197.1979 8625895844.3068 2019-01-01 "Cuenta 4" "Centro 4"
"2" "AUTOMOVIL" 159 74 2093 34 67 102.910486608744 27.3676920449361 21.5448235161602 1215744321.23452 33595870365.3887 40338278550.189 2019-01-02 "Cuenta 4" "Centro 4"
"3" "AUTOMOVIL CASCO FLOTA" 178 94 362 223 40 104.470486193895 72.4155251868069 58.1626273458824 43081087653.9908 27230441896.2449 11187322763.7261 2019-01-03 "Cuenta 3" "Centro 3"
"4" "AUTOMOVIL CASCO FLOTA" 41 25 2258 251 159 68.5740131419152 55.847549601458 4.4744313461706 49002462252.9745 19695727340.8771 22960643842.8164 2019-01-04 "Cuenta 5" "Centro 5"
"5" "RESPONSABILIDAD CIVIL DE VEHICULOS" 12 36 180 65 15 193.43666289933 65.9431308275089 62.9841787740588 35058700153.6041 8293187792.8786 39381725725.2522 2019-01-05 "Cuenta 3" "Centro 5"
"6" "AUTOMOVIL CASCO FLOTA" 7 88 1470 249 79 150.682973116636 53.8586194859818 44.1881713457406 8271453424.82254 17871893162.3735 37778902298.3052 2019-01-06 "Cuenta 4" "Centro 4"
"7" "RESPONSABILIDAD CIVIL DE VEHICULOS" 18 9 2605 60 151 112.615086557344 69.540508557111 2.92765446938574 35366621159.4827 2282385842.40899 16362907958.6826 2019-01-07 "Cuenta 3" "Centro 5"
"8" "AUTOMOVIL" 115 92 1408 56 135 102.746331971139 22.2231173189357 92.3049627337605 44059124251.3619 9264931152.57472 37858497444.5403 2019-01-08 "Cuenta 5" "Centro 4"
"9" "AUTOMOVIL" 35 78 1317 250 50 186.282701930031 81.8981438409537 17.6308045629412 9195483452.64047 3364347491.87902 44553328305.4829 2019-01-09 "Cuenta 3" "Centro 5"
"10" "AUTOMOVIL" 137 36 2901 138 45 102.320588007569 7.23872727248818 93.0820969864726 35698317608.3304 40595043054.7819 28748689009.808 2019-01-10 "Cuenta 1" "Centro 2"
"11" "AUTOMOVIL CASCO FLOTA" 23 31 1505 298 153 6.15147715434432 45.8283746615052 18.2043162640184 22354653058.5736 14461498835.5897 5385199619.92279 2019-01-11 "Cuenta 5" "Centro 2"
"12" "AUTOMOVIL" 157 71 334 164 193 133.127821236849 89.9654317414388 17.972165858373 11656184657.4768 29994930967.2229 16680106567.2189 2019-01-12 "Cuenta 2" "Centro 2"
"13" "RESPONSABILIDAD CIVIL DE VEHICULOS" 195 98 2106 224 182 85.5070922058076 5.7915440062061 58.7381975958124 48900553165.0037 38052773429.0808 29262288147.5836 2019-01-13 "Cuenta 4" "Centro 2"
"14" "RESPONSABILIDAD CIVIL DE VEHICULOS" 22 20 2265 289 59 168.343788664788 18.8561661401764 73.814532905817 3715696302.24258 6044961209.40894 44634622742.8876 2019-01-14 "Cuenta 4" "Centro 1"
"15" "RESPONSABILIDAD CIVIL DE VEHICULOS" 112 81 1060 10 61 104.628804326057 12.5673528760672 32.7661684248596 32217567041.5163 7964071480.09166 38433776574.675 2019-01-15 "Cuenta 3" "Centro 5"
"16" "AUTOMOVIL" 182 80 3775 228 5 14.7988189477473 14.9144429247826 48.6471853218973 32211407530.1215 12396406207.6993 19626135227.7361 2019-01-16 "Cuenta 4" "Centro 1"
"17" "AUTOMOVIL CASCO FLOTA" 114 31 434 145 79 9.27097406238317 26.5335469739512 38.506953115575 20272809488.2332 14737736526.8767 44864846731.0704 2019-01-17 "Cuenta 5" "Centro 1"
"18" "AUTOMOVIL CASCO FLOTA" 196 94 901 44 27 38.9509950298816 57.2019285289571 27.8453732142225 6320121500.17545 21021324826.8701 43870497448.3699 2019-01-18 "Cuenta 4" "Centro 1"
"19" "AUTOMOVIL CASCO FLOTA" 75 19 2983 142 200 149.295141687617 37.4349673977122 34.3769150786102 41183196275.9607 38423041370.6973 12314892443.8283 2019-01-19 "Cuenta 3" "Centro 3"
"20" "AUTOMOVIL CASCO FLOTA" 163 50 3636 30 104 109.935545967892 96.6187841026112 38.6139376321808 24099811725.3184 7477152510.54615 37792300514.4112 2019-01-20 "Cuenta 5" "Centro 5"
"21" "RESPONSABILIDAD CIVIL DE VEHICULOS" 5 30 1986 189 169 96.4576420839876 95.8747935015708 27.8604161459953 40586410206.7426 25907695107.162 31371787015.8143 2019-01-21 "Cuenta 3" "Centro 4"
"22" "AUTOMOVIL CASCO FLOTA" 23 36 1045 7 47 96.4443060103804 95.7225507125258 11.0539916902781 31894713011.5703 36494512087.6655 8652812929.35833 2019-01-22 "Cuenta 4" "Centro 1"
"23" "AUTOMOVIL" 194 43 1750 131 38 22.2216521855444 45.4599229851738 59.0644558658823 25466315203.812 16936344024.7253 19347011658.8287 2019-01-23 "Cuenta 4" "Centro 3"
"24" "AUTOMOVIL CASCO FLOTA" 197 49 1722 52 140 163.710473198444 23.04687644355 69.6242350852117 1415279705.54307 14737243915.4424 39427938871.0856 2019-01-24 "Cuenta 3" "Centro 5"
"25" "RESPONSABILIDAD CIVIL DE VEHICULOS" 105 99 3891 157 59 2.41786227561533 43.8018671469763 82.4434814043343 44407272210.8103 33306002721.6561 20734962448.4777 2019-01-25 "Cuenta 5" "Centro 4"
"26" "AUTOMOVIL CASCO FLOTA" 175 68 2852 10 170 116.731871245429 19.5863387081772 93.6774491565302 35491904930.6773 1454553101.21179 32074355636.7233 2019-01-26 "Cuenta 3" "Centro 2"
"27" "AUTOMOVIL CASCO FLOTA" 40 2 1199 188 115 58.3766735624522 91.2272752262652 26.9758786074817 23696774861.3097 28806866274.6809 18024709308.52 2019-01-27 "Cuenta 2" "Centro 5"
"28" "AUTOMOVIL CASCO FLOTA" 122 75 194 288 139 128.081859368831 41.8659401126206 28.1593460356817 11637445702.2175 23006552713.9232 21890585112.8511 2019-01-28 "Cuenta 3" "Centro 1"
"29" "AUTOMOVIL CASCO FLOTA" 17 4 1038 272 71 7.58462711237371 53.5221162019297 60.7396270381287 18759281374.5141 13880011450.965 1392276957.63111 2019-01-29 "Cuenta 1" "Centro 3"
"30" "AUTOMOVIL CASCO FLOTA" 26 11 981 295 148 60.7155760284513 52.6719850022346 45.7126004155725 39985338284.1684 6693840946.53651 41565881972.2012 2019-01-30 "Cuenta 5" "Centro 2"
"31" "RESPONSABILIDAD CIVIL DE VEHICULOS" 146 13 1915 112 152 42.9656520020217 71.2112210458145 83.2821954973042 1901651429.94374 7838318822.90542 9437320963.47958 2019-01-31 "Cuenta 5" "Centro 5"
"32" "RESPONSABILIDAD CIVIL DE VEHICULOS" 56 73 580 136 1 12.5072765629739 24.3151768809184 89.0623760176823 44576817972.1199 3676450147.75917 6336241960.52551 2019-02-01 "Cuenta 3" "Centro 1"
"33" "RESPONSABILIDAD CIVIL DE VEHICULOS" 56 81 2318 50 90 165.537466760725 99.4940330740064 27.1974447648972 21469359484.0355 38899340131.3201 14556027599.6104 2019-02-02 "Cuenta 5" "Centro 3"
"34" "RESPONSABILIDAD CIVIL DE VEHICULOS" 46 95 2538 144 163 155.761012341827 69.3462359951809 93.7795873032883 27701981517.0206 42114379722.625 3029498737.3054 2019-02-03 "Cuenta 5" "Centro 1"
"35" "RESPONSABILIDAD CIVIL DE VEHICULOS" 172 4 3720 259 11 9.55111556686461 67.7808397915214 31.1744943959638 21471397287.678 36262911197.2637 41778265021.2757 2019-02-04 "Cuenta 4" "Centro 4"
"36" "RESPONSABILIDAD CIVIL DE VEHICULOS" 198 79 969 19 195 187.904600054026 50.7273769238964 71.8882158165798 37378225405.7005 14241574471.8164 5791446671.35552 2019-02-05 "Cuenta 2" "Centro 1"
"37" "RESPONSABILIDAD CIVIL DE VEHICULOS" 93 17 791 5 16 18.8264691736549 55.7477880036458 23.8025634316728 21649420587.346 46987189003.2664 12111510569.2297 2019-02-06 "Cuenta 4" "Centro 2"
"38" "RESPONSABILIDAD CIVIL DE VEHICULOS" 93 84 2644 200 135 199.921293789521 96.107653924264 27.8231606120244 6769109249.58065 8098913077.26502 45093854062.7249 2019-02-07 "Cuenta 4" "Centro 5"
"39" "AUTOMOVIL CASCO FLOTA" 5 24 1547 165 63 199.877253733575 26.8230027751997 96.9368709949777 30835234792.9031 30990118789.4866 48566994722.9326 2019-02-08 "Cuenta 2" "Centro 4"
"40" "AUTOMOVIL CASCO FLOTA" 2 5 2867 167 74 9.21189086511731 11.1768583068624 38.0311155691743 789567246.101797 4985755402.5948 15660574578.2144 2019-02-09 "Cuenta 1" "Centro 5"
"41" "AUTOMOVIL" 65 80 2842 230 104 96.7597804032266 29.5874449890107 47.9500831104815 5945012532.17459 36551240016.7063 39484813890.8856 2019-02-10 "Cuenta 5" "Centro 1"
"42" "RESPONSABILIDAD CIVIL DE VEHICULOS" 44 80 3752 220 141 167.891630390659 62.8772843396291 62.5699103344232 27773655718.1925 26418709009.8858 24200413434.3006 2019-02-11 "Cuenta 5" "Centro 5"
"43" "RESPONSABILIDAD CIVIL DE VEHICULOS" 106 43 3445 30 110 180.862016510218 29.0463842917234 85.1323653943837 40521345881.2796 48283172561.7871 15996345598.2506 2019-02-12 "Cuenta 5" "Centro 5"
"44" "AUTOMOVIL CASCO FLOTA" 64 17 955 101 23 53.135047852993 7.97456547152251 49.3872099090368 41845083108.6375 41624860651.7911 32465961889.8295 2019-02-13 "Cuenta 1" "Centro 1"
"45" "AUTOMOVIL CASCO FLOTA" 127 93 3748 94 70 126.790381316096 92.6134510431439 53.9368511876091 26158066932.112 46377420355.5658 2776753925.71837 2019-02-14 "Cuenta 4" "Centro 4"
"46" "RESPONSABILIDAD CIVIL DE VEHICULOS" 56 79 3740 28 193 57.9155335668474 22.9695584159344 86.5307671949267 1027043652.72075 46547490393.2773 29311729292.3853 2019-02-15 "Cuenta 3" "Centro 2"
"47" "AUTOMOVIL CASCO FLOTA" 105 51 1473 144 26 31.3928195741028 82.4418454430997 19.7060574777424 28633986786.0079 47941742418.3339 41250550828.4084 2019-02-16 "Cuenta 3" "Centro 3"
"48" "RESPONSABILIDAD CIVIL DE VEHICULOS" 0 51 3330 183 114 95.4078962560743 76.5476491767913 62.7216197550297 22727437503.6359 29514051054.1387 38955644587.9862 2019-02-17 "Cuenta 1" "Centro 2"
"49" "RESPONSABILIDAD CIVIL DE VEHICULOS" 32 4 1398 60 151 129.594895802438 35.1562993368134 46.4355307864025 43556181958.4109 11590949120 5527687340.50915 2019-02-18 "Cuenta 3" "Centro 2"
