"Ramo" "(*) Siniestralidad Incurrida Real (%)" "Siniestralidad Incurrida Presupuesto (%)" "(*) Siniestralidad Incurrida sin IBNR Real (%)" "Siniestralidad Incurrida sin IBNR Presupuesto (%)" "(*) Siniestralidad Incurrida Rolling 12 Real (%)" "Siniestralidad Incurrida Rolling 12 Presupuesto (%)" "Persistencia (%)" "Persistencia Rolling 12 (%)" "Comisiones sobre Devengada Real (%)" "Comisiones sobre Devengada Presupuesto (%)" "Comisiones sobre Cobrado Real (%)" "Comisiones sobre Cobrado Presupuesto (%)" "fecha" "cuentas_esp" "centro"
"1" "RESPONSABILIDAD CIVIL DE VEHICULOS" 65.036670351401 84.8050357894972 258.614147733897 6.68674833141267 145.514493854716 40.0307094212621 92.0290024252608 33.515376993455 86.6284797899425 17.9411099525169 173.250435199589 179.50845984742 2019-01-01 "Cuenta 1" "Centro 5"
"2" "AUTOMOVIL" 185.433646431193 75.2430807577912 251.761350315064 195.350663526915 32.3571658227593 26.7004989553243 0.36930120550096 49.6025438653305 107.166500994936 297.961258795112 252.328216657043 115.560651011765 2019-01-02 "Cuenta 5" "Centro 4"
"3" "AUTOMOVIL" 28.0436599161476 24.1607996767852 15.1261752471328 160.813392489217 88.0816803313792 70.400373544544 96.9157312531024 79.8743360675871 131.919204490259 68.1973064783961 70.7291631028056 126.028932863846 2019-01-03 "Cuenta 3" "Centro 3"
"4" "RESPONSABILIDAD CIVIL DE VEHICULOS" 74.9810718931258 91.9152489081025 285.143453534693 175.942362961359 57.5087817851454 30.5090057197958 61.2476912559941 2.98870061524212 77.2372760344297 30.5122288875282 241.656080260873 178.255858365446 2019-01-04 "Cuenta 4" "Centro 3"
"5" "AUTOMOVIL" 92.074429243803 25.7231812605169 128.046127315611 153.280102042481 107.785037718713 56.3198584597558 58.0263506388292 43.584770988673 70.0255177449435 47.6104974746704 172.782342974097 26.4093300327659 2019-01-05 "Cuenta 2" "Centro 3"
"6" "RESPONSABILIDAD CIVIL DE VEHICULOS" 171.346817724407 29.8928777459078 198.924751672894 39.1644128831103 81.8805766757578 115.716316085309 79.0260017616674 45.8731442457065 58.9777176268399 85.3521716315299 253.69861703366 138.393656583503 2019-01-06 "Cuenta 3" "Centro 4"
"7" "AUTOMOVIL CASCO FLOTA" 125.769808329642 72.6160313063301 211.116240732372 228.117895172909 172.860113205388 77.3236668203026 15.6117961509153 11.7471083533019 160.683131450787 118.399570207112 200.0074474141 146.471079671755 2019-01-07 "Cuenta 2" "Centro 4"
"8" "AUTOMOVIL CASCO FLOTA" 179.027653299272 85.3764832154848 175.056271627545 101.085204072297 12.2569265309721 117.613715026528 19.2407169146463 47.176351165399 54.7251378651708 249.505890905857 47.1467893570662 127.45505804196 2019-01-08 "Cuenta 1" "Centro 2"
"9" "AUTOMOVIL CASCO FLOTA" 26.7206498421729 31.4524377505295 59.9801913835108 176.202590600587 88.0973308812827 124.181870697066 70.7279816735536 33.0717565026134 165.497927740216 295.565307699144 234.454889595509 159.020484564826 2019-01-09 "Cuenta 1" "Centro 2"
"10" "AUTOMOVIL" 172.55126084201 85.4915194867644 370.718731917441 158.89431363903 138.493227306753 17.0065202284604 20.5309623619542 60.0451324833557 22.0420959405601 296.491681295447 114.526478108019 9.97820319607854 2019-01-10 "Cuenta 1" "Centro 3"
