"Asesor" "Ramo" "Número de Póliza" "Fecha" "Contrato"
"1" "Asesor 4" "Salud" 8 2019-01-01 5
"2" "Asesor 5" "Auto" 5 2019-01-02 1
"3" "Asesor 5" "Personas" 9 2019-01-03 2
"4" "Asesor 4" "Salud" 1 2019-01-04 4
"5" "Asesor 1" "Personas" 3 2019-01-05 2
"6" "Asesor 1" "Personas" 3 2019-01-06 1
"7" "Asesor 2" "Auto" 1 2019-01-07 3
"8" "Asesor 4" "Personas" 7 2019-01-08 9
"9" "Asesor 3" "Patrimoniales" 10 2019-01-09 7
"10" "Asesor 3" "Patrimoniales" 1 2019-01-10 1
"11" "Asesor 4" "Auto" 2 2019-01-11 2
"12" "Asesor 4" "Salud" 5 2019-01-12 3
"13" "Asesor 1" "Auto" 7 2019-01-13 3
"14" "Asesor 2" "Personas" 3 2019-01-14 10
"15" "Asesor 2" "Fianzas" 9 2019-01-15 10
"16" "Asesor 2" "Personas" 9 2019-01-16 8
"17" "Asesor 2" "Salud" 10 2019-01-17 9
"18" "Asesor 2" "Fianzas" 5 2019-01-18 10
"19" "Asesor 5" "Salud" 7 2019-01-19 8
"20" "Asesor 3" "Patrimoniales" 7 2019-01-20 6
"21" "Asesor 4" "Personas" 3 2019-01-21 5
"22" "Asesor 5" "Fianzas" 3 2019-01-22 9
"23" "Asesor 3" "Auto" 2 2019-01-23 9
"24" "Asesor 2" "Personas" 5 2019-01-24 9
"25" "Asesor 4" "Personas" 4 2019-01-25 5
"26" "Asesor 1" "Patrimoniales" 5 2019-01-26 6
"27" "Asesor 3" "Auto" 4 2019-01-27 9
"28" "Asesor 2" "Fianzas" 5 2019-01-28 3
"29" "Asesor 5" "Fianzas" 5 2019-01-29 1
"30" "Asesor 5" "Auto" 9 2019-01-30 4
"31" "Asesor 2" "Auto" 3 2019-01-31 7
"32" "Asesor 4" "Fianzas" 10 2019-02-01 3
"33" "Asesor 2" "Personas" 9 2019-02-02 10
"34" "Asesor 4" "Auto" 1 2019-02-03 3
"35" "Asesor 3" "Salud" 1 2019-02-04 2
"36" "Asesor 5" "Salud" 6 2019-02-05 4
"37" "Asesor 4" "Fianzas" 7 2019-02-06 6
"38" "Asesor 2" "Personas" 5 2019-02-07 7
"39" "Asesor 2" "Salud" 8 2019-02-08 4
"40" "Asesor 4" "Fianzas" 10 2019-02-09 10
"41" "Asesor 4" "Auto" 4 2019-02-10 4
"42" "Asesor 5" "Personas" 4 2019-02-11 7
"43" "Asesor 1" "Patrimoniales" 4 2019-02-12 1
"44" "Asesor 5" "Personas" 4 2019-02-13 7
"45" "Asesor 3" "Personas" 1 2019-02-14 10
"46" "Asesor 2" "Patrimoniales" 3 2019-02-15 5
"47" "Asesor 2" "Salud" 8 2019-02-16 9
"48" "Asesor 4" "Auto" 4 2019-02-17 2
"49" "Asesor 2" "Patrimoniales" 8 2019-02-18 10
"50" "Asesor 3" "Auto" 8 2019-02-19 2
"51" "Asesor 5" "Fianzas" 5 2019-02-20 1
"52" "Asesor 1" "Auto" 7 2019-02-21 1
"53" "Asesor 5" "Personas" 2 2019-02-22 6
"54" "Asesor 2" "Salud" 8 2019-02-23 10
"55" "Asesor 2" "Auto" 9 2019-02-24 5
"56" "Asesor 2" "Fianzas" 8 2019-02-25 5
"57" "Asesor 2" "Salud" 1 2019-02-26 6
"58" "Asesor 5" "Salud" 4 2019-02-27 1
"59" "Asesor 3" "Salud" 1 2019-02-28 8
"60" "Asesor 2" "Fianzas" 10 2019-03-01 5
"61" "Asesor 3" "Salud" 1 2019-03-02 9
"62" "Asesor 5" "Salud" 8 2019-03-03 4
"63" "Asesor 3" "Salud" 9 2019-03-04 5
"64" "Asesor 2" "Patrimoniales" 1 2019-03-05 4
"65" "Asesor 4" "Patrimoniales" 4 2019-03-06 5
"66" "Asesor 3" "Auto" 4 2019-03-07 3
"67" "Asesor 5" "Patrimoniales" 10 2019-03-08 2
"68" "Asesor 3" "Personas" 9 2019-03-09 2
"69" "Asesor 2" "Personas" 6 2019-03-10 10
"70" "Asesor 1" "Auto" 2 2019-03-11 8
"71" "Asesor 2" "Personas" 1 2019-03-12 6
"72" "Asesor 4" "Patrimoniales" 8 2019-03-13 8
"73" "Asesor 2" "Patrimoniales" 2 2019-03-14 8
"74" "Asesor 3" "Patrimoniales" 10 2019-03-15 6
"75" "Asesor 5" "Fianzas" 7 2019-03-16 6
"76" "Asesor 4" "Auto" 6 2019-03-17 10
"77" "Asesor 2" "Patrimoniales" 9 2019-03-18 8
"78" "Asesor 2" "Personas" 4 2019-03-19 3
"79" "Asesor 3" "Fianzas" 5 2019-03-20 6
"80" "Asesor 1" "Auto" 6 2019-03-21 7
"81" "Asesor 2" "Salud" 9 2019-03-22 3
"82" "Asesor 3" "Patrimoniales" 4 2019-03-23 8
"83" "Asesor 2" "Auto" 5 2019-03-24 8
"84" "Asesor 4" "Personas" 10 2019-03-25 4
"85" "Asesor 4" "Personas" 1 2019-03-26 4
"86" "Asesor 4" "Personas" 7 2019-03-27 10
"87" "Asesor 4" "Personas" 10 2019-03-28 10
"88" "Asesor 2" "Personas" 6 2019-03-29 7
"89" "Asesor 2" "Auto" 10 2019-03-30 2
"90" "Asesor 4" "Salud" 7 2019-03-31 9
"91" "Asesor 3" "Auto" 10 2019-04-01 9
"92" "Asesor 1" "Fianzas" 1 2019-04-02 9
"93" "Asesor 5" "Auto" 6 2019-04-03 5
"94" "Asesor 5" "Fianzas" 3 2019-04-04 1
"95" "Asesor 5" "Salud" 3 2019-04-05 2
"96" "Asesor 2" "Salud" 2 2019-04-06 7
"97" "Asesor 5" "Auto" 2 2019-04-07 7
"98" "Asesor 4" "Salud" 1 2019-04-08 10
"99" "Asesor 2" "Auto" 8 2019-04-09 5
"100" "Asesor 3" "Patrimoniales" 3 2019-04-10 6
"101" "Asesor 3" "Personas" 5 2019-04-11 4
"102" "Asesor 2" "Auto" 2 2019-04-12 8
"103" "Asesor 1" "Patrimoniales" 3 2019-04-13 3
"104" "Asesor 3" "Fianzas" 2 2019-04-14 1
"105" "Asesor 2" "Auto" 3 2019-04-15 10
"106" "Asesor 2" "Personas" 5 2019-04-16 4
"107" "Asesor 3" "Patrimoniales" 10 2019-04-17 5
"108" "Asesor 3" "Salud" 7 2019-04-18 5
"109" "Asesor 3" "Patrimoniales" 2 2019-04-19 1
"110" "Asesor 2" "Personas" 1 2019-04-20 6
"111" "Asesor 1" "Auto" 8 2019-04-21 9
"112" "Asesor 1" "Patrimoniales" 10 2019-04-22 5
"113" "Asesor 2" "Fianzas" 3 2019-04-23 4
"114" "Asesor 3" "Patrimoniales" 10 2019-04-24 9
"115" "Asesor 2" "Personas" 1 2019-04-25 2
"116" "Asesor 4" "Fianzas" 5 2019-04-26 10
"117" "Asesor 1" "Auto" 5 2019-04-27 2
"118" "Asesor 2" "Personas" 5 2019-04-28 4
"119" "Asesor 1" "Salud" 5 2019-04-29 6
"120" "Asesor 5" "Salud" 6 2019-04-30 7
"121" "Asesor 4" "Patrimoniales" 10 2019-05-01 3
"122" "Asesor 1" "Patrimoniales" 2 2019-05-02 6
"123" "Asesor 1" "Personas" 1 2019-05-03 7
"124" "Asesor 2" "Patrimoniales" 4 2019-05-04 4
"125" "Asesor 5" "Auto" 10 2019-05-05 6
"126" "Asesor 5" "Patrimoniales" 9 2019-05-06 5
"127" "Asesor 4" "Personas" 4 2019-05-07 9
"128" "Asesor 2" "Fianzas" 2 2019-05-08 6
"129" "Asesor 3" "Fianzas" 3 2019-05-09 2
"130" "Asesor 4" "Salud" 10 2019-05-10 7
