"state" "period" "claim_type" "avg_state"
"1" "ZU" "after_1_30" "Carrier" 904
"2" "PO" "after_1_30" "Durable Medical Equipment" 73
"3" "SU" "after_1_30" "Home Health Agency" 576
"4" "LA" "after_1_30" "Hospice" 153
"5" "DP" "after_1_30" "Inpatient" 1958
"6" "CA" "after_1_30" "Outpatient" 915
"7" "TA" "after_1_30" "Skilled Nursing Facility" 2909
"8" "AM" "during" "Carrier" 1484
"9" "ME" "during" "Durable Medical Equipment" 15
"10" "AR" "during" "Home Health Agency" 0
"11" "AP" "during" "Hospice" 0
"12" "DP" "during" "Inpatient" 11010
"13" "AP" "during" "Outpatient" 0
"14" "TR" "during" "Skilled Nursing Facility" 0
"15" "DA" "prior_1_3" "Carrier" 655
"16" "NE" "prior_1_3" "Durable Medical Equipment" 7
"17" "SU" "prior_1_3" "Home Health Agency" 7
"18" "AR" "prior_1_3" "Hospice" 0
"19" "DF" "prior_1_3" "Inpatient" 6
"20" "CO" "prior_1_3" "Outpatient" 188
"21" "CA" "prior_1_3" "Skilled Nursing Facility" 1
"22" "AM" "after_1_30" "Carrier" 1142
"23" "ME" "after_1_30" "Durable Medical Equipment" 103
"24" "ME" "after_1_30" "Home Health Agency" 999
"25" "TR" "after_1_30" "Hospice" 198
"26" "NE" "after_1_30" "Inpatient" 3004
"27" "GU" "after_1_30" "Outpatient" 705
"28" "LA" "after_1_30" "Skilled Nursing Facility" 2630
"29" "MI" "during" "Carrier" 1495
"30" "TR" "during" "Durable Medical Equipment" 22
"31" "DF" "during" "Home Health Agency" 0
"32" "SU" "during" "Hospice" 0
"33" "AR" "during" "Inpatient" 9801
"34" "FA" "during" "Outpatient" 0
"35" "NE" "during" "Skilled Nursing Facility" 0
"36" "DP" "prior_1_3" "Carrier" 537
"37" "DF" "prior_1_3" "Durable Medical Equipment" 8
"38" "AM" "prior_1_3" "Home Health Agency" 16
"39" "VA" "prior_1_3" "Hospice" 1
"40" "ZU" "prior_1_3" "Inpatient" 7
"41" "AP" "prior_1_3" "Outpatient" 108
"42" "DA" "prior_1_3" "Skilled Nursing Facility" 2
"43" "CO" "after_1_30" "Carrier" 1036
"44" "DA" "after_1_30" "Durable Medical Equipment" 97
"45" "BO" "after_1_30" "Home Health Agency" 734
"46" "VA" "after_1_30" "Hospice" 152
"47" "LA" "after_1_30" "Inpatient" 3717
"48" "BA" "after_1_30" "Outpatient" 789
"49" "NE" "after_1_30" "Skilled Nursing Facility" 2576
"50" "AR" "during" "Carrier" 1341
"51" "VA" "during" "Durable Medical Equipment" 28
"52" "CA" "during" "Home Health Agency" 0
"53" "AR" "during" "Hospice" 0
"54" "CA" "during" "Inpatient" 10127
"55" "DF" "during" "Outpatient" 0
"56" "AM" "during" "Skilled Nursing Facility" 0
"57" "AN" "prior_1_3" "Carrier" 562
"58" "TR" "prior_1_3" "Durable Medical Equipment" 10
"59" "DF" "prior_1_3" "Home Health Agency" 12
"60" "LA" "prior_1_3" "Hospice" 1
"61" "MI" "prior_1_3" "Inpatient" 9
"62" "AM" "prior_1_3" "Outpatient" 179
"63" "AR" "prior_1_3" "Skilled Nursing Facility" 2
"64" "AR" "after_1_30" "Carrier" 1403
"65" "FA" "after_1_30" "Durable Medical Equipment" 86
"66" "VA" "after_1_30" "Home Health Agency" 715
"67" "DF" "after_1_30" "Hospice" 172
"68" "FA" "after_1_30" "Inpatient" 2886
"69" "BO" "after_1_30" "Outpatient" 788
"70" "ZU" "after_1_30" "Skilled Nursing Facility" 2112
"71" "ZU" "during" "Carrier" 1839
"72" "GU" "during" "Durable Medical Equipment" 27
"73" "YA" "during" "Home Health Agency" 0
"74" "GU" "during" "Hospice" 0
"75" "AM" "during" "Inpatient" 11029
"76" "GU" "during" "Outpatient" 0
"77" "AM" "during" "Skilled Nursing Facility" 0
"78" "AM" "prior_1_3" "Carrier" 673
"79" "DA" "prior_1_3" "Durable Medical Equipment" 8
"80" "SU" "prior_1_3" "Home Health Agency" 8
"81" "YA" "prior_1_3" "Hospice" 1
"82" "DF" "prior_1_3" "Inpatient" 5
"83" "GU" "prior_1_3" "Outpatient" 152
"84" "PO" "prior_1_3" "Skilled Nursing Facility" 1
"85" "CA" "after_1_30" "Carrier" 1250
"86" "BO" "after_1_30" "Durable Medical Equipment" 88
"87" "ME" "after_1_30" "Home Health Agency" 849
"88" "CO" "after_1_30" "Hospice" 156
"89" "CO" "after_1_30" "Inpatient" 2641
"90" "BA" "after_1_30" "Outpatient" 769
"91" "BA" "after_1_30" "Skilled Nursing Facility" 3762
"92" "TR" "during" "Carrier" 1651
"93" "NE" "during" "Durable Medical Equipment" 17
"94" "PO" "during" "Home Health Agency" 0
"95" "AR" "during" "Hospice" 0
"96" "AP" "during" "Inpatient" 10415
"97" "BA" "during" "Outpatient" 0
"98" "MO" "during" "Skilled Nursing Facility" 0
"99" "DP" "prior_1_3" "Carrier" 585
"100" "DF" "prior_1_3" "Durable Medical Equipment" 8
"101" "CO" "prior_1_3" "Home Health Agency" 13
"102" "VA" "prior_1_3" "Hospice" 0
"103" "TA" "prior_1_3" "Inpatient" 4
"104" "AP" "prior_1_3" "Outpatient" 93
"105" "PO" "prior_1_3" "Skilled Nursing Facility" 3
"106" "CO" "after_1_30" "Carrier" 1055
"107" "AM" "after_1_30" "Durable Medical Equipment" 106
"108" "AR" "after_1_30" "Home Health Agency" 765
"109" "BA" "after_1_30" "Hospice" 131
"110" "ME" "after_1_30" "Inpatient" 2254
"111" "LA" "after_1_30" "Outpatient" 865
"112" "MI" "after_1_30" "Skilled Nursing Facility" 3122
"113" "DA" "during" "Carrier" 1652
"114" "AM" "during" "Durable Medical Equipment" 21
"115" "TA" "during" "Home Health Agency" 0
"116" "CO" "during" "Hospice" 0
"117" "VA" "during" "Inpatient" 11543
"118" "TR" "during" "Outpatient" 0
"119" "AR" "during" "Skilled Nursing Facility" 0
"120" "DP" "prior_1_3" "Carrier" 603
"121" "FA" "prior_1_3" "Durable Medical Equipment" 9
"122" "BA" "prior_1_3" "Home Health Agency" 10
"123" "BO" "prior_1_3" "Hospice" 0
"124" "NE" "prior_1_3" "Inpatient" 6
"125" "CA" "prior_1_3" "Outpatient" 238
"126" "PO" "prior_1_3" "Skilled Nursing Facility" 2
"127" "TA" "after_1_30" "Carrier" 1244
"128" "AP" "after_1_30" "Durable Medical Equipment" 70
"129" "DA" "after_1_30" "Home Health Agency" 1122
"130" "SU" "after_1_30" "Hospice" 113
"131" "DP" "after_1_30" "Inpatient" 2233
"132" "AM" "after_1_30" "Outpatient" 853
"133" "LA" "after_1_30" "Skilled Nursing Facility" 4136
"134" "CA" "during" "Carrier" 1491
"135" "FA" "during" "Durable Medical Equipment" 10
"136" "CA" "during" "Home Health Agency" 0
"137" "TA" "during" "Hospice" 0
"138" "CO" "during" "Inpatient" 9698
"139" "FA" "during" "Outpatient" 0
"140" "DP" "during" "Skilled Nursing Facility" 0
"141" "DA" "prior_1_3" "Carrier" 598
"142" "AR" "prior_1_3" "Durable Medical Equipment" 6
"143" "GU" "prior_1_3" "Home Health Agency" 19
"144" "ZU" "prior_1_3" "Hospice" 0
"145" "SU" "prior_1_3" "Inpatient" 3
"146" "AN" "prior_1_3" "Outpatient" 91
"147" "AR" "prior_1_3" "Skilled Nursing Facility" 3
"148" "SU" "after_1_30" "Carrier" 1193
"149" "CA" "after_1_30" "Durable Medical Equipment" 107
"150" "YA" "after_1_30" "Home Health Agency" 781
"151" "NU" "after_1_30" "Hospice" 182
"152" "MO" "after_1_30" "Inpatient" 2943
"153" "PO" "after_1_30" "Outpatient" 897
"154" "AP" "after_1_30" "Skilled Nursing Facility" 3126
"155" "VA" "during" "Carrier" 1745
"156" "CA" "during" "Durable Medical Equipment" 22
"157" "FA" "during" "Home Health Agency" 0
"158" "LA" "during" "Hospice" 0
"159" "ME" "during" "Inpatient" 10990
"160" "DP" "during" "Outpatient" 0
"161" "AP" "during" "Skilled Nursing Facility" 0
"162" "DF" "prior_1_3" "Carrier" 575
"163" "YA" "prior_1_3" "Durable Medical Equipment" 8
"164" "GU" "prior_1_3" "Home Health Agency" 8
"165" "YA" "prior_1_3" "Hospice" 1
"166" "DA" "prior_1_3" "Inpatient" 14
"167" "CA" "prior_1_3" "Outpatient" 115
"168" "AM" "prior_1_3" "Skilled Nursing Facility" 2
"169" "AN" "after_1_30" "Carrier" 1193
"170" "AN" "after_1_30" "Durable Medical Equipment" 107
"171" "BA" "after_1_30" "Home Health Agency" 781
"172" "NE" "after_1_30" "Hospice" 182
"173" "LA" "after_1_30" "Inpatient" 2943
"174" "TR" "after_1_30" "Outpatient" 897
"175" "MI" "after_1_30" "Skilled Nursing Facility" 3126
"176" "NE" "during" "Carrier" 1745
"177" "BA" "during" "Durable Medical Equipment" 22
"178" "LA" "during" "Home Health Agency" 0
"179" "AR" "during" "Hospice" 0
"180" "BO" "during" "Inpatient" 10990
"181" "MI" "during" "Outpatient" 0
"182" "TA" "during" "Skilled Nursing Facility" 0
"183" "TA" "prior_1_3" "Carrier" 575
"184" "YA" "prior_1_3" "Durable Medical Equipment" 8
"185" "BA" "prior_1_3" "Home Health Agency" 8
"186" "LA" "prior_1_3" "Hospice" 1
"187" "PO" "prior_1_3" "Inpatient" 14
"188" "NE" "prior_1_3" "Outpatient" 115
"189" "PO" "prior_1_3" "Skilled Nursing Facility" 2
"190" "LA" "after_1_30" "Carrier" 1415
"191" "ZU" "after_1_30" "Durable Medical Equipment" 93
"192" "CA" "after_1_30" "Home Health Agency" 1040
"193" "SU" "after_1_30" "Hospice" 185
"194" "MI" "after_1_30" "Inpatient" 2949
"195" "AR" "after_1_30" "Outpatient" 672
"196" "GU" "after_1_30" "Skilled Nursing Facility" 3391
"197" "GU" "during" "Carrier" 1711
"198" "SU" "during" "Durable Medical Equipment" 19
"199" "BA" "during" "Home Health Agency" 0
"200" "MI" "during" "Hospice" 0
"201" "YA" "during" "Inpatient" 9800
"202" "BA" "during" "Outpatient" 0
"203" "DA" "during" "Skilled Nursing Facility" 0
"204" "AM" "prior_1_3" "Carrier" 604
"205" "MI" "prior_1_3" "Durable Medical Equipment" 8
"206" "AR" "prior_1_3" "Home Health Agency" 19
"207" "DP" "prior_1_3" "Hospice" 1
"208" "MI" "prior_1_3" "Inpatient" 6
"209" "MI" "prior_1_3" "Outpatient" 72
"210" "CA" "prior_1_3" "Skilled Nursing Facility" 2
